"oncekifiyat","tarih","fonkodu","fonadi","fiyat","paysayisi","kisisayisi","toplamdeger","tarih","fonkodu","fonadi","bankabonosu","diger","dovizodemebono","devlettahvili","dovizodemetahvil","eurobond","finansmanbonosu","fonkatilmabelgesi","gayrimenkulsertifikasi","hazinebonosu","hissesenedi","kamudisiborcaraclari","katilimhesabi","kamukirasertifikalari","kiymetlimadenler","ozelsektorkirasertifikalari","ozelsektortahvili","repo","turevaraclari","tpp","tersrepo","varligadaymenkulkiymetler","vadelimevduat","yabanciborclanmaaraclari","yabancihissesenedi","yabancimenkulkiymet"
,2021-01-04,ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,2.247759,701272610,6030.0,1576292042.71,2021-01-04,ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,0,0,0,0,0,0.47,5.31,73.97,0,0,0,0,0,0,0,0,0,0,3.02,1.16,0,0,5.52,0,10.55,0
,2021-01-04,ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,2.38181,187095473,2478.0,445625851.54,2021-01-04,ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,0,0,0,0,0,0,0,70.17,0,0,0,0,0,0,0,0,0,0,4.25,3.59,0,0,5.28,0,16.71,0
,2021-01-04,ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,2.446007,134799021,1.0,329719343.48,2021-01-04,ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,0,0,0,0,0,40.01,0,0,0,0,59.01,0,0,0,0,0,0,0,0,0.03,0,0,0.95,0,0,0
,2021-01-04,ATJ,AZİMUT PORTFÖY ÇINAR SERBEST ÖZEL FON,1.120337,136985258,3.0,153469614.51,2021-01-04,ATJ,AZİMUT PORTFÖY ÇINAR SERBEST ÖZEL FON,0,0,0,0,0,0,0,29.39,0,0,14.14,0,0,0,0,0,0,0,1.41,0,0,0,3.18,0,51.88,0
,2021-01-04,AUT,ATA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,2.404816,887877.0,20.0,2135180.75,2021-01-04,AUT,ATA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,0,0,0,52.64,0,0,25.4,0,0,0,0,0,0,0,0,0,4.8,0,17.16,0,0,0,0,0,0,0
,2021-01-04,AVC,ATA PORTFÖY İKİNCİ SERBEST FONU,1.429276,592968.0,2.0,847514.92,2021-01-04,AVC,ATA PORTFÖY İKİNCİ SERBEST FONU,0,0,0,0,0,0,0,0,0,0,40.97,0,0,0,0,0,8.36,0,50.67,0,0,0,0,0,0,0
,2021-01-04,AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,43.221904,8407751.0,18157.0,363399007,2021-01-04,AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,0,0,0,5.71,0,0,69.13,0,0,0,0,0,0,0,0,0,11.56,0,0,9.9,3.58,0,1.1,0,0,0
,2021-01-04,AVZ,AK PORTFÖY SERBEST ( DÖVİZ ) FONU,8.832149,18534831,46.0,163702397.02,2021-01-04,AVZ,AK PORTFÖY SERBEST ( DÖVİZ ) FONU,0,0,0,0,0,95.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0
,2021-01-04,AYA,ATA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),2.483508,27982148,344.0,69493889.86,2021-01-04,AYA,ATA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0,0,0,0,0,0,0,0,0,0,98.35,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0
,2021-01-04,AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.024823,20205940486,11176.0,501578232.38,2021-01-04,AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0,0,0,0.45,0,0,27.37,0,0,0,0,0,0,0,0,0,70.54,0,0,0.28,2,0,0,0,0,0
,2021-01-04,AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI ÖZEL FONU,0.028034,3533556605,9.0,99060239.47,2021-01-04,AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI ÖZEL FONU,0,0,0,0,0,0,29.85,0,0,0,0,0,0,0,0,0,68.55,0,0,0.85,2.02,0,0,0,0,0
,2021-01-04,AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,1.943093,262820068,297.0,510683946.48,2021-01-04,AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,0,0,0,0,0,0,0,94.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,5.52
,2021-01-04,AZV,AZİMUT PYŞ BKS SERBEST ÖZEL FON,2.639907,268430993,4.0,708632928.14,2021-01-04,AZV,AZİMUT PYŞ BKS SERBEST ÖZEL FON,0,0,0,0,0,94.22,0.39,0,0,0,0.07,0,0,0,0,0,0.65,0,0.07,0,0,0,4.6,0,0,0
,2021-01-04,BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,1.070473,13315719,43.0,14254118.75,2021-01-04,BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,0,0,0,0,0,0,24.13,0,0,0,0,0,0,0,0,0,0,0,0,14.59,56.18,0,5.1,0,0,0
